trade_date,strategy_return
2024-11-05,0.00091898
2024-11-06,0.00137711
2024-11-07,0.00136242
2024-11-08,0.00174003
2024-11-11,0.00188788
2024-11-12,0.00199455
2024-11-13,0.0011758
2024-11-14,0.00062552
2024-11-15,-0.0001604
2024-11-18,-0.00038525
2024-11-19,-0.00044561
2024-11-20,-0.00069876
2024-11-21,-0.00056152
2024-11-22,-0.00074377
2024-11-25,-0.0006121
2024-11-26,-0.0004387
2024-11-27,0.00110328
2024-11-28,0.00163143
2024-11-29,0.00136314
2024-12-02,0.00100729
2024-12-03,0.00079609
2024-12-04,0.00110767
2024-12-05,0.0010719
2024-12-06,0.00106171
2024-12-09,0.00122602
2024-12-10,0.00081041
2024-12-11,0.00115961
2024-12-12,0.00096653
2024-12-13,0.00127298
2024-12-16,0.00094674
2024-12-17,0.00046067
2024-12-18,0.00087011
2024-12-19,0.00083949
2024-12-20,0.00085723
2024-12-23,-0.00051164
2024-12-24,3.429e-05
2024-12-25,-0.00023836
2024-12-26,-0.00020204
2024-12-27,0.00031994
2024-12-30,0.00083216
2024-12-31,0.00041062
2025-01-01,0.00019246
2025-01-02,0.00019808
2025-01-03,-4.476e-05
2025-01-06,-0.00025345
2025-01-07,-0.00028455
2025-01-08,0.00033574
2025-01-09,0.00049993
2025-01-10,0.00131076
2025-01-13,0.00142357
2025-01-14,0.00145268
2025-01-15,0.00140094
2025-01-16,0.0010791
2025-01-17,0.00139653
2025-01-20,0.00184612
