trade_date,ASSET_1,ASSET_2,ASSET_3,ASSET_4,ASSET_5,ASSET_6,ASSET_7,ASSET_8
2024-02-05,0.0,0.1,0.1,0.0,-0.1,-0.1,0.0,0.0
2024-02-06,0.0,0.16,0.06,0.0,-0.06,-0.16,-0.1,0.1
2024-02-07,0.0,0.212941,0.171765,0.0,-0.024706,-0.212941,-0.188235,0.041176
2024-02-08,0.0,0.25,0.25,0.0,0.0,-0.25,-0.25,0.0
2024-02-09,-0.2,0.25,0.25,0.0,0.0,-0.05,-0.25,0.0
2024-02-12,0.0,0.25,0.25,0.0,0.0,-0.25,-0.25,0.0
2024-02-13,-0.2,0.25,0.25,0.0,0.0,-0.05,-0.25,0.0
2024-02-14,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-15,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-16,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-19,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-20,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-21,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-22,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-23,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-26,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-27,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-28,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-02-29,-0.25,0.25,0.25,0.0,0.0,0.0,-0.25,0.0
2024-03-01,-0.25,0.25,0.15,-0.1,0.0,0.0,-0.15,0.1
2024-03-04,-0.25,0.25,0.075,-0.05,0.0,-0.125,-0.075,0.175
2024-03-05,-0.25,0.25,0.0,0.0,0.0,-0.25,0.0,0.25
2024-03-06,-0.25,0.25,0.0,0.0,0.0,-0.25,0.2,0.05
2024-03-07,-0.246898,0.246898,0.0,0.0,0.0,-0.246898,0.246898,0.0
2024-03-08,-0.25,0.25,0.0,0.0,0.0,-0.25,0.25,0.0
2024-03-11,-0.25,0.25,0.0,0.0,0.0,-0.25,0.25,0.0
2024-03-12,-0.05,0.25,0.0,-0.2,0.0,-0.25,0.25,0.0
2024-03-13,-0.235463,0.235463,0.0,0.0,0.0,-0.235463,0.235463,0.0
2024-03-14,-0.056471,0.242282,0.0,-0.18581,0.0,-0.242282,0.242282,0.0
2024-03-15,-0.019797,0.084936,0.0,-0.21864,0.153502,-0.238437,0.238437,0.0
2024-03-18,0.0,0.0,0.0,-0.24271,0.24271,-0.24271,0.24271,0.0
2024-03-19,0.0,0.0,0.0,-0.241077,0.052455,-0.241077,0.241077,0.188622
2024-03-20,0.0,0.0,0.0,-0.241387,0.235675,-0.241387,0.241387,0.005712
2024-03-21,0.0,0.0,0.0,-0.24715,0.24715,-0.24715,0.24715,0.0
2024-03-22,0.197968,0.0,0.0,-0.249685,0.051716,-0.249685,0.249685,0.0
2024-03-25,0.25,0.0,0.0,-0.25,0.0,-0.25,0.25,0.0
2024-03-26,0.245108,0.196087,0.0,-0.245108,0.0,-0.245108,0.049022,0.0
2024-03-27,0.081502,0.225198,0.0,-0.241499,0.159996,-0.241499,0.0163,0.0
2024-03-28,0.0,0.25,0.0,-0.25,0.25,-0.25,0.0,0.0
2024-03-29,0.0,0.25,0.0,-0.25,0.25,-0.25,0.0,0.0
2024-04-01,0.0,0.25,0.0,-0.25,0.25,-0.25,0.0,0.0
2024-04-02,0.0,0.25,0.0,-0.25,0.25,-0.25,0.0,0.0
2024-04-03,0.0,0.25,0.0,-0.25,0.25,-0.25,0.0,0.0
2024-04-04,0.0,0.25,0.0,-0.25,0.25,-0.25,0.0,0.0
2024-04-05,0.0,0.05,0.2,-0.25,0.25,-0.25,0.0,0.0
2024-04-08,0.0,0.25,0.0,-0.25,0.25,-0.25,0.0,0.0
2024-04-09,0.0,0.245143,0.0,-0.245143,0.245143,-0.245143,0.0,0.0
2024-04-10,0.10118,0.25,0.0,-0.25,0.14882,-0.14882,0.0,-0.10118
2024-04-11,0.043557,0.25,0.0,-0.107623,0.206443,-0.206443,0.0,-0.185934
