strategy_name,transaction_cost_bps,max_names_per_side,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,average_turnover,days
momentum,2.0,2,0.1941,0.0119,14.9345,-0.0037,0.7455,0.1182,55
momentum,5.0,2,0.1834,0.0119,14.1115,-0.004,0.7455,0.1182,55
momentum,10.0,2,0.1659,0.0123,12.4871,-0.0045,0.7455,0.1182,55
momentum,2.0,1,0.2626,0.0225,10.399,-0.0055,0.6909,0.1091,55
momentum,5.0,1,0.2523,0.0224,10.0546,-0.0055,0.6545,0.1091,55
momentum,10.0,1,0.2352,0.0225,9.3856,-0.0058,0.6182,0.1091,55
mean_reversion,2.0,2,-0.2797,0.0143,-22.9793,-0.0691,0.0545,0.2455,55
hybrid,2.0,2,-0.2806,0.0143,-23.0438,-0.0693,0.0545,0.2455,55
hybrid,5.0,2,-0.2938,0.0144,-24.1496,-0.0731,0.0545,0.2455,55
mean_reversion,5.0,2,-0.2929,0.0143,-24.2357,-0.0729,0.0545,0.2455,55
hybrid,10.0,2,-0.3154,0.015,-25.2144,-0.0794,0.0364,0.2455,55
hybrid,2.0,1,-0.3958,0.0199,-25.253,-0.1041,0.0909,0.3818,55
mean_reversion,2.0,1,-0.3866,0.0191,-25.5938,-0.1012,0.0909,0.3091,55
mean_reversion,10.0,2,-0.3145,0.0147,-25.595,-0.0791,0.0364,0.2455,55
hybrid,5.0,1,-0.413,0.02,-26.5919,-0.1098,0.0727,0.3818,55
mean_reversion,5.0,1,-0.4008,0.0191,-26.8217,-0.1058,0.0727,0.3091,55
hybrid,10.0,1,-0.4406,0.021,-27.6392,-0.1191,0.0545,0.3818,55
mean_reversion,10.0,1,-0.4238,0.0199,-27.6581,-0.1134,0.0545,0.3091,55
