trade_date,walkforward_return
2024-11-26,-0.00027548
2024-11-27,0.00042626
2024-11-28,0.00112654
2024-11-29,0.00126314
2024-12-02,0.00100729
2024-12-03,0.00079609
2024-12-04,0.00110767
2024-12-05,0.0010719
2024-12-06,0.00106171
2024-12-09,0.00122602
2024-12-10,0.00081041
2024-12-11,0.00115961
2024-12-12,0.00096653
2024-12-13,0.00127298
2024-12-16,0.00094674
2024-12-17,0.00058984
2024-12-18,0.00082011
2024-12-19,0.00083949
2024-12-20,0.00085723
2024-12-23,-0.00020662
2024-12-24,-0.00018629
2024-12-25,-0.00039069
2024-12-26,-0.00030204
2024-12-27,0.00019092
2024-12-30,0.00078216
2024-12-31,0.00041062
2025-01-01,0.00019246
2025-01-02,0.00019808
2025-01-03,-4.476e-05
2025-01-06,-0.00025345
2025-01-07,-0.00030675
2025-01-08,0.00028574
2025-01-09,0.00041455
2025-01-10,0.00126076
2025-01-13,0.00142357
2025-01-14,0.00145268
2025-01-15,0.00140094
2025-01-16,0.001099
2025-01-17,0.00134653
2025-01-20,0.00184612
